Date,AAPL,MSFT,GOOGL,AMZN,TSLA
4/24/2023,165.3300018,281.769989,105.9700012,106.2099991,162.5500031
4/25/2023,163.7700043,275.4200134,103.8499985,102.5699997,160.6699982
4/26/2023,163.7599945,295.3699951,103.7099991,104.9800034,153.75
4/27/2023,168.4100037,304.8299866,107.5899963,109.8199997,160.1900024
4/28/2023,169.6799927,307.2600098,107.3399963,105.4499969,164.3099976
5/1/2023,169.5899963,305.5599976,107.1999969,102.0500031,161.8300018
5/2/2023,168.5399933,305.4100037,105.3199997,103.6299973,160.3099976
5/3/2023,167.4499969,304.3999939,105.4100037,103.6500015,160.6100006
5/4/2023,165.7899933,305.4100037,104.6900024,104,161.1999969
5/5/2023,173.5700073,310.6499939,105.5699997,105.6600037,170.0599976
5/8/2023,173.5,308.6499939,107.7699966,105.8300018,171.7899933
5/9/2023,171.7700043,307,107.3499985,106.6200027,169.1499939
5/10/2023,173.5599976,312.3099976,111.75,110.1900024,168.5399933
5/11/2023,173.75,310.1099854,116.5699997,112.1800003,172.0800018
5/12/2023,172.5700073,308.9700012,117.5100021,110.2600021,167.9799957
5/15/2023,172.0700073,309.4599915,116.5100021,111.1999969,166.3500061
5/16/2023,172.0700073,311.7399902,119.5100021,113.4000015,166.5200043
5/17/2023,172.6900024,314,120.8399963,115.5,173.8600006
5/18/2023,175.0500031,318.519989,122.8300018,118.1500015,176.8899994
5/19/2023,175.1600037,318.3399963,122.7600021,116.25,180.1399994
5/22/2023,174.1999969,321.1799927,125.0500031,115.0100021,188.8699951
5/23/2023,171.5599976,315.2600098,122.5599976,114.9899979,185.7700043
5/24/2023,171.8399963,313.8500061,120.9000015,116.75,182.8999939
5/25/2023,172.9900055,325.9200134,123.4800034,115,184.4700012
5/26/2023,175.4299927,332.8900146,124.6100006,120.1100006,193.1699982
5/30/2023,177.3000031,331.2099915,123.6699982,121.6600037,201.1600037
5/31/2023,177.25,328.3900146,122.8700027,120.5800018,203.9299927
